AC_Number,AC_Name,Region,Held_Party,District_Number,Total_Electors
1,Valmiki Nagar,Tirhut,IND,1,3000000
2,Ramnagar,Tirhut,BJP,1,3000000
3,Narkatiaganj,Tirhut,Cong,1,3000000
4,Bagaha,Tirhut,BJP,1,3000000
5,Lauriya,Tirhut,BJP,1,3000000
6,Nautan,Tirhut,BJP,1,3000000
7,Chanpatia,Tirhut,BJP,1,3000000
8,Bettiah,Tirhut,Cong,1,3000000
9,Sikta,Tirhut,JDU,1,3000000
10,Raxaul,Tirhut,BJP,1,3000000
11,Sugauli,Tirhut,BJP,1,3000000
12,Narkatia,Tirhut,RJD,1,3000000
13,Harsidhi,Tirhut,RJD,1,3000000
14,Govindganj,Tirhut,LJP,1,3000000
15,Kesaria,Tirhut,RJD,1,3000000
16,Kalyanpur,Tirhut,BJP,1,3000000
17,Pipra,Tirhut,BJP,1,3000000
18,Madhuban,Tirhut,BJP,1,3000000
19,Motihari,Tirhut,BJP,1,3000000
20,Chiraia,Tirhut,BJP,1,3000000
21,Dhaka,Tirhut,RJD,1,3000000
22,Sheohar,Tirhut,JDU,1,3000000
23,Riga,Tirhut,Cong,1,3000000
24,Bathnaha,Tirhut,BJP,1,3000000
25,Parihar,Tirhut,BJP,1,3000000
26,Sursand,Tirhut,RJD,1,3000000
27,Bajpatti,Tirhut,JDU,1,3000000
28,Sitamarhi,Tirhut,RJD,1,3000000
29,Runnisaidpur,Tirhut,RJD,1,3000000
30,Belsand,Tirhut,JDU,1,3000000
31,Harlakhi,Mithilanchal,RLSP,1,3000000
32,Benipatti,Mithilanchal,Cong,1,3000000
33,Khajauli,Mithilanchal,RJD,1,3000000
34,Babubarhi,Mithilanchal,JDU,1,3000000
35,Bisfi,Mithilanchal,RJD,1,3000000
36,Madhubani,Mithilanchal,RJD,1,3000000
37,Rajnagar,Mithilanchal,BJP,1,3000000
38,Jhanjharpur,Mithilanchal,RJD,1,3000000
39,Phulparas,Mithilanchal,JDU,1,3000000
40,Laukaha,Mithilanchal,JDU,1,3000000
41,Nirmali,Mithilanchal,JDU,1,3000000
42,Pipra,Mithilanchal,RJD,1,3000000
43,Supaul,Mithilanchal,JDU,1,3000000
44,Triveniganj,Mithilanchal,JDU,1,3000000
45,Chhatapur,Mithilanchal,BJP,1,3000000
46,Narpatganj,Seemanchal,RJD,1,3000000
47,Raniganj,Seemanchal,JDU,1,3000000
48,Forbesganj,Seemanchal,BJP,1,3000000
49,Araria,Seemanchal,Cong,1,3000000
50,Jokihat,Seemanchal,JDU,1,3000000
51,Sikti,Seemanchal,BJP,1,3000000
52,Bahadurganj,Seemanchal,Cong,1,3000000
53,Thakurganj,Seemanchal,JDU,1,3000000
54,Kishanganj,Seemanchal,Cong,1,3000000
55,Kochadhaman,Seemanchal,JDU,1,3000000
56,Amour,Seemanchal,Cong,1,3000000
57,Baisi,Seemanchal,RJD,1,3000000
58,Kasba,Seemanchal,Cong,1,3000000
59,Banmankhi,Seemanchal,BJP,1,3000000
60,Rupauli,Seemanchal,JDU,1,3000000
61,Dhamdaha,Seemanchal,JDU,1,3000000
62,Purnia,Seemanchal,BJP,1,3000000
63,Katihar,Seemanchal,BJP,1,3000000
64,Kadwa,Seemanchal,Cong,1,3000000
