constcode,constname,State Code,noc,distno,Region number,heldpty,electors,uncon,marg const,Region code,Regiona Name
4001,Valmiki Nagar,4,13,1,5,IND,3000000,n,4001,6,Tirhut
4002,Ramnagar,4,9,1,5,BJP,3000000,n,4002,6,Tirhut
4003,Narkatiaganj,4,16,1,5,Cong,3000000,n,4003,6,Tirhut
4004,Bagaha,4,15,1,5,BJP,3000000,n,4004,6,Tirhut
4005,Lauriya,4,11,1,5,BJP,3000000,n,4005,6,Tirhut
4006,Nautan,4,15,1,5,BJP,3000000,n,4006,6,Tirhut
4007,Chanpatia,4,10,1,5,BJP,3000000,n,4007,6,Tirhut
4008,Bettiah,4,16,1,5,Cong,3000000,n,4008,6,Tirhut
4009,Sikta,4,12,1,5,JDU,3000000,n,4009,6,Tirhut
4010,Raxaul,4,10,1,5,BJP,3000000,n,4010,6,Tirhut
4011,Sugauli,4,14,1,5,BJP,3000000,n,4011,6,Tirhut
4012,Narkatia,4,12,1,5,RJD,3000000,n,4012,6,Tirhut
4013,Harsidhi,4,8,1,5,RJD,3000000,n,4013,6,Tirhut
4014,Govindganj,4,8,1,5,LJP,3000000,n,4014,6,Tirhut
4015,Kesaria,4,7,1,5,RJD,3000000,n,4015,6,Tirhut
4016,Kalyanpur,4,10,1,5,BJP,3000000,n,4016,6,Tirhut
4017,Pipra,4,17,1,5,BJP,3000000,n,4017,6,Tirhut
4018,Madhuban,4,12,1,5,BJP,3000000,n,4018,6,Tirhut
4019,Motihari,4,10,1,5,BJP,3000000,n,4019,6,Tirhut
4020,Chiraia,4,12,1,5,BJP,3000000,n,4020,6,Tirhut
4021,Dhaka,4,10,1,5,RJD,3000000,n,4021,6,Tirhut
4022,Sheohar,4,11,1,5,JDU,3000000,n,4022,6,Tirhut
4023,Riga,4,18,1,5,Cong,3000000,n,4023,6,Tirhut
4024,Bathnaha,4,12,1,5,BJP,3000000,n,4024,6,Tirhut
4025,Parihar,4,14,1,5,BJP,3000000,n,4025,6,Tirhut
4026,Sursand,4,18,1,5,RJD,3000000,n,4026,6,Tirhut
4027,Bajpatti,4,22,1,5,JDU,3000000,n,4027,6,Tirhut
4028,Sitamarhi,4,15,1,5,RJD,3000000,n,4028,6,Tirhut
4029,Runnisaidpur,4,14,1,5,RJD,3000000,n,4029,6,Tirhut
4030,Belsand,4,18,1,5,JDU,3000000,n,4030,6,Tirhut
4031,Harlakhi,4,17,1,4,RLSP,3000000,n,4031,4,Mithilanchal
4032,Benipatti,4,16,1,4,Cong,3000000,n,4032,4,Mithilanchal
4033,Khajauli,4,15,1,4,RJD,3000000,n,4033,4,Mithilanchal
4034,Babubarhi,4,13,1,4,JDU,3000000,n,4034,4,Mithilanchal
4035,Bisfi,4,16,1,4,RJD,3000000,n,4035,4,Mithilanchal
4036,Madhubani,4,12,1,4,RJD,3000000,n,4036,4,Mithilanchal
4037,Rajnagar,4,11,1,4,BJP,3000000,n,4037,4,Mithilanchal
4038,Jhanjharpur,4,18,1,4,RJD,3000000,n,4038,4,Mithilanchal
4039,Phulparas,4,12,1,4,JDU,3000000,n,4039,4,Mithilanchal
4040,Laukaha,4,14,1,4,JDU,3000000,n,4040,4,Mithilanchal
4041,Nirmali,4,14,1,4,JDU,3000000,n,4041,4,Mithilanchal
4042,Pipra,4,9,1,4,RJD,3000000,n,4042,4,Mithilanchal
4043,Supaul,4,9,1,4,JDU,3000000,n,4043,4,Mithilanchal
4044,Triveniganj,4,9,1,4,JDU,3000000,n,4044,4,Mithilanchal
4045,Chhatapur,4,11,1,4,BJP,3000000,n,4045,4,Mithilanchal
4046,Narpatganj,4,12,1,2,RJD,3000000,n,4046,5,Seemanchal
4047,Raniganj,4,13,1,2,JDU,3000000,n,4047,5,Seemanchal
4048,Forbesganj,4,12,1,2,BJP,3000000,n,4048,5,Seemanchal
4049,Araria,4,15,1,2,Cong,3000000,n,4049,5,Seemanchal
4050,Jokihat,4,13,1,2,JDU,3000000,n,4050,5,Seemanchal
4051,Sikti,4,11,1,2,BJP,3000000,n,4051,5,Seemanchal
4052,Bahadurganj,4,18,1,2,Cong,3000000,n,4052,5,Seemanchal
4053,Thakurganj,4,11,1,2,JDU,3000000,n,4053,5,Seemanchal
4054,Kishanganj,4,19,1,2,Cong,3000000,n,4054,5,Seemanchal
4055,Kochadhaman,4,12,1,2,JDU,3000000,n,4055,5,Seemanchal
4056,Amour,4,13,1,2,Cong,3000000,n,4056,5,Seemanchal
4057,Baisi,4,12,1,2,RJD,3000000,n,4057,5,Seemanchal
4058,Kasba,4,15,1,2,Cong,3000000,n,4058,5,Seemanchal
4059,Banmankhi,4,18,1,2,BJP,3000000,n,4059,5,Seemanchal
4060,Rupauli,4,20,1,2,JDU,3000000,n,4060,5,Seemanchal
4061,Dhamdaha,4,25,1,2,JDU,3000000,n,4061,5,Seemanchal
4062,Purnia,4,25,1,2,BJP,3000000,n,4062,5,Seemanchal
4063,Katihar,4,22,1,2,BJP,3000000,n,4063,5,Seemanchal
4064,Kadwa,4,18,1,2,Cong,3000000,n,4064,5,Seemanchal
4065,Balrampur,4,17,1,2,CPIML,3000000,n,4065,5,Seemanchal
4066,Pranpur,4,23,1,2,BJP,3000000,n,4066,5,Seemanchal
